Epoch: 85, time: 98208.0426, loss_D_vx: -1694.7985, loss_D_x: -2453.5298, loss_G_xvz: 3552.6948, loss_G_vzx: 1046.0719
Epoch: 86, time: 99342.5665, loss_D_vx: -1476.2894, loss_D_x: -2211.7300, loss_G_xvz: 3811.4878, loss_G_vzx: 1321.5808
Epoch: 87, time: 100477.0298, loss_D_vx: -1607.5474, loss_D_x: -2302.3188, loss_G_xvz: 3650.9143, loss_G_vzx: 1239.8007
Epoch: 88, time: 101611.9210, loss_D_vx: -1619.9604, loss_D_x: -2326.1725, loss_G_xvz: 3704.1791, loss_G_vzx: 1297.0224
Epoch: 89, time: 102746.5376, loss_D_vx: -1796.3036, loss_D_x: -2509.8016, loss_G_xvz: 3702.7077, loss_G_vzx: 1273.9603
Epoch: 90, time: 103883.3144, loss_D_vx: -1810.1967, loss_D_x: -2418.3364, loss_G_xvz: 3706.9483, loss_G_vzx: 1345.3997
Epoch: 91, time: 105018.3596, loss_D_vx: -1756.4049, loss_D_x: -2366.3350, loss_G_xvz: 3689.0324, loss_G_vzx: 1391.5412
Epoch: 92, time: 106152.7506, loss_D_vx: -1909.1640, loss_D_x: -2519.7518, loss_G_xvz: 3772.0612, loss_G_vzx: 1457.4855
Epoch: 93, time: 107286.7539, loss_D_vx: -1880.3603, loss_D_x: -2459.1342, loss_G_xvz: 3819.5408, loss_G_vzx: 1551.1576
Epoch: 94, time: 108421.5517, loss_D_vx: -1942.0971, loss_D_x: -2426.1546, loss_G_xvz: 3656.9829, loss_G_vzx: 1482.0711
Epoch: 95, time: 109554.7528, loss_D_vx: -1984.5615, loss_D_x: -2507.6499, loss_G_xvz: 3852.0143, loss_G_vzx: 1648.9069
Epoch: 96, time: 110686.3558, loss_D_vx: -2034.9002, loss_D_x: -2531.4508, loss_G_xvz: 3855.9941, loss_G_vzx: 1657.5381
Epoch: 97, time: 111819.1986, loss_D_vx: -2058.5095, loss_D_x: -2512.7556, loss_G_xvz: 3857.6069, loss_G_vzx: 1773.3562
Epoch: 98, time: 112951.6298, loss_D_vx: -2084.5805, loss_D_x: -2488.8306, loss_G_xvz: 3933.1186, loss_G_vzx: 1907.4489
Epoch: 99, time: 114085.8254, loss_D_vx: -1929.3591, loss_D_x: -2267.9071, loss_G_xvz: 4129.3124, loss_G_vzx: 2158.2890
Epoch: 100, time: 115220.3662, loss_D_vx: -2165.0891, loss_D_x: -2473.1444, loss_G_xvz: 3940.3140, loss_G_vzx: 2007.4651
Epoch: 101, time: 116352.8591, loss_D_vx: -2074.3407, loss_D_x: -2321.8044, loss_G_xvz: 4071.2298, loss_G_vzx: 2207.0077
Epoch: 102, time: 117486.0086, loss_D_vx: -2127.6282, loss_D_x: -2430.1238, loss_G_xvz: 4260.3146, loss_G_vzx: 2337.8850
Epoch: 103, time: 118617.9775, loss_D_vx: -1997.5955, loss_D_x: -2268.8947, loss_G_xvz: 4526.1034, loss_G_vzx: 2632.8355
Epoch: 104, time: 119749.4482, loss_D_vx: -2250.2180, loss_D_x: -2499.5573, loss_G_xvz: 4321.5387, loss_G_vzx: 2448.6623
Epoch: 105, time: 120881.6752, loss_D_vx: -2271.0482, loss_D_x: -2457.4796, loss_G_xvz: 4480.7237, loss_G_vzx: 2701.2560
Epoch: 106, time: 122014.9602, loss_D_vx: -2293.9213, loss_D_x: -2432.6135, loss_G_xvz: 4477.5934, loss_G_vzx: 2735.6098
Epoch: 107, time: 123147.2146, loss_D_vx: -2257.4000, loss_D_x: -2427.4312, loss_G_xvz: 4723.0686, loss_G_vzx: 2947.9040
Epoch: 108, time: 124281.5461, loss_D_vx: -2330.3033, loss_D_x: -2484.1810, loss_G_xvz: 4652.5552, loss_G_vzx: 2917.0822
Epoch: 109, time: 125414.2250, loss_D_vx: -2353.2217, loss_D_x: -2456.6623, loss_G_xvz: 4748.8267, loss_G_vzx: 3043.1761
Epoch: 110, time: 126549.9769, loss_D_vx: -2383.2809, loss_D_x: -2473.1738, loss_G_xvz: 4861.6909, loss_G_vzx: 3171.4793
Epoch: 111, time: 127681.7836, loss_D_vx: -2409.2525, loss_D_x: -2443.4022, loss_G_xvz: 5042.2251, loss_G_vzx: 3394.2096
Epoch: 112, time: 128814.1708, loss_D_vx: -2299.1770, loss_D_x: -2325.5774, loss_G_xvz: 5102.5065, loss_G_vzx: 3526.3184
Epoch: 113, time: 129949.5726, loss_D_vx: -2334.1379, loss_D_x: -2336.0284, loss_G_xvz: 5241.8268, loss_G_vzx: 3679.5583
Epoch: 114, time: 131084.2626, loss_D_vx: -2442.6456, loss_D_x: -2395.9238, loss_G_xvz: 5120.6664, loss_G_vzx: 3570.3057
Epoch: 115, time: 132219.2587, loss_D_vx: -2454.1376, loss_D_x: -2410.3433, loss_G_xvz: 5260.9750, loss_G_vzx: 3739.3344
Epoch: 116, time: 133355.9759, loss_D_vx: -2468.8262, loss_D_x: -2421.7267, loss_G_xvz: 5356.1206, loss_G_vzx: 3821.8947
Epoch: 117, time: 134491.3165, loss_D_vx: -2467.9937, loss_D_x: -2421.9681, loss_G_xvz: 5511.6876, loss_G_vzx: 4012.5293
Epoch: 118, time: 135626.1352, loss_D_vx: -2485.8683, loss_D_x: -2354.9170, loss_G_xvz: 5572.9151, loss_G_vzx: 4137.6942
Epoch: 119, time: 136761.5173, loss_D_vx: -2528.9851, loss_D_x: -2416.6298, loss_G_xvz: 5738.0838, loss_G_vzx: 4288.5873
Epoch: 120, time: 137897.6348, loss_D_vx: -2515.8576, loss_D_x: -2425.5586, loss_G_xvz: 5886.4287, loss_G_vzx: 4397.3214
Epoch: 121, time: 139032.6528, loss_D_vx: -2553.1217, loss_D_x: -2386.5187, loss_G_xvz: 5843.2736, loss_G_vzx: 4463.2115
Epoch: 122, time: 140167.8419, loss_D_vx: -2537.0258, loss_D_x: -2330.2849, loss_G_xvz: 5931.1275, loss_G_vzx: 4602.9652
Epoch: 123, time: 141302.8773, loss_D_vx: -2521.3056, loss_D_x: -2312.7493, loss_G_xvz: 6029.4277, loss_G_vzx: 4691.4766
Epoch: 124, time: 142435.9649, loss_D_vx: -2535.8283, loss_D_x: -2384.1695, loss_G_xvz: 6085.7498, loss_G_vzx: 4674.1739
Epoch: 125, time: 143570.0354, loss_D_vx: -2552.2594, loss_D_x: -2338.3160, loss_G_xvz: 6047.2869, loss_G_vzx: 4751.1183
Epoch: 126, time: 144703.0694, loss_D_vx: -2581.5728, loss_D_x: -2344.7259, loss_G_xvz: 6206.1313, loss_G_vzx: 4908.8600
Epoch: 127, time: 145837.3371, loss_D_vx: -2601.9963, loss_D_x: -2297.6964, loss_G_xvz: 6230.3788, loss_G_vzx: 4994.2801
Epoch: 128, time: 146970.8625, loss_D_vx: -2598.4761, loss_D_x: -2308.9240, loss_G_xvz: 6108.5578, loss_G_vzx: 4878.6806
Epoch: 129, time: 148105.2101, loss_D_vx: -2622.5660, loss_D_x: -2323.8907, loss_G_xvz: 6175.5941, loss_G_vzx: 4948.7202
Epoch: 130, time: 149241.1942, loss_D_vx: -2621.3998, loss_D_x: -2246.8385, loss_G_xvz: 6188.7721, loss_G_vzx: 5047.3936
Epoch: 131, time: 150374.9742, loss_D_vx: -2634.6517, loss_D_x: -2318.0577, loss_G_xvz: 6369.4662, loss_G_vzx: 5156.5293
Epoch: 132, time: 151509.7551, loss_D_vx: -2629.3341, loss_D_x: -2315.8980, loss_G_xvz: 6384.0175, loss_G_vzx: 5177.5074
Epoch: 133, time: 152642.7311, loss_D_vx: -2640.8898, loss_D_x: -2380.7011, loss_G_xvz: 6446.1634, loss_G_vzx: 5175.5063
Epoch: 134, time: 153776.7741, loss_D_vx: -2618.9433, loss_D_x: -2180.2538, loss_G_xvz: 6273.9190, loss_G_vzx: 5197.6618
Epoch: 135, time: 154911.9330, loss_D_vx: -2648.3431, loss_D_x: -2304.5930, loss_G_xvz: 6417.2803, loss_G_vzx: 5270.5650
Epoch: 136, time: 156046.2664, loss_D_vx: -2673.1757, loss_D_x: -2246.5644, loss_G_xvz: 6377.0947, loss_G_vzx: 5293.5402
Epoch: 137, time: 157180.5094, loss_D_vx: -2654.1278, loss_D_x: -2227.9639, loss_G_xvz: 6452.2407, loss_G_vzx: 5390.9998
Epoch: 138, time: 158315.2484, loss_D_vx: -2681.9570, loss_D_x: -2198.8291, loss_G_xvz: 6457.9833, loss_G_vzx: 5439.5295
Epoch: 139, time: 159453.2961, loss_D_vx: -2679.5156, loss_D_x: -2333.8873, loss_G_xvz: 6688.6163, loss_G_vzx: 5548.9042
Epoch: 140, time: 160592.8833, loss_D_vx: -2688.0067, loss_D_x: -2229.1174, loss_G_xvz: 6611.9940, loss_G_vzx: 5547.1745
Epoch: 141, time: 161726.8931, loss_D_vx: -2680.8378, loss_D_x: -2257.2843, loss_G_xvz: 6613.3706, loss_G_vzx: 5593.8539
Epoch: 142, time: 162861.0191, loss_D_vx: -2642.9081, loss_D_x: -2120.9999, loss_G_xvz: 6601.1712, loss_G_vzx: 5610.2428
Epoch: 143, time: 163994.2431, loss_D_vx: -2714.3489, loss_D_x: -2197.5480, loss_G_xvz: 6596.5861, loss_G_vzx: 5629.9873
Epoch: 144, time: 165134.7285, loss_D_vx: -2741.4252, loss_D_x: -2245.6632, loss_G_xvz: 6607.0791, loss_G_vzx: 5581.1666
Epoch: 145, time: 166271.9232, loss_D_vx: -2724.1083, loss_D_x: -2301.6343, loss_G_xvz: 6683.0862, loss_G_vzx: 5591.3082
Epoch: 146, time: 167409.9598, loss_D_vx: -2711.6453, loss_D_x: -2246.9930, loss_G_xvz: 6734.1924, loss_G_vzx: 5719.8399
Epoch: 147, time: 168563.6455, loss_D_vx: -2681.3182, loss_D_x: -2228.0357, loss_G_xvz: 6757.5371, loss_G_vzx: 5700.3252
Epoch: 148, time: 169744.9837, loss_D_vx: -2721.8054, loss_D_x: -2211.7194, loss_G_xvz: 6664.9350, loss_G_vzx: 5697.5887
Epoch: 149, time: 170883.7700, loss_D_vx: -2731.9541, loss_D_x: -2286.2657, loss_G_xvz: 6765.2186, loss_G_vzx: 5744.5456
Epoch: 150, time: 172021.5748, loss_D_vx: -2729.4140, loss_D_x: -2232.5537, loss_G_xvz: 6706.2256, loss_G_vzx: 5725.1601
